away,forecast,home,week,wind,year
Jaguars,74f Fair,Chargers,2,,2010
Giants,DOME,Colts,2,,2010
Saints,72f A Few Clouds and Breezy,49ers,2,,2010
Bills,67f Fair,Patriots,3,,2010
Falcons,DOME,Saints,3,,2010
Lions,DOME,Vikings,3,,2010
Browns,77f Rain Showers,Ravens,3,,2010
Cowboys,82f Mostly Cloudy,Texans,3,,2010
49ers,57f Mostly Cloudy,Chiefs,3,,2010
Titans,70f Fair,Giants,3,,2010
Steelers,86f Mostly Cloudy,Buccaneers,3,,2010
Bengals,65f Thunderstorm Rain Fog/Mist,Panthers,3,,2010
Eagles,90f Mostly Cloudy,Jaguars,3,,2010
Redskins,DOME,Rams,3,,2010
Raiders,DOME,Cardinals,3,,2010
Chargers,66f Fog/Mist,Seahawks,3,,2010
Colts,82f Clear,Broncos,3,,2010
Jets,84f Fair,Dolphins,3,,2010
Packers,55f Mostly Cloudy,Bears,3,,2010
Jets,48f Light Rain,Bills,4,,2010
Seahawks,DOME,Rams,4,,2010
Panthers,DOME,Saints,4,,2010
Lions,52f A Few Clouds,Packers,4,,2010
Bengals,52f Overcast,Browns,4,,2010
Ravens,51f Overcast,Steelers,4,,2010
Broncos,53f Overcast,Titans,4,,2010
49ers,DOME,Falcons,4,,2010
Colts,81f A Few Clouds,Jaguars,4,,2010
Texans,67f Mostly Cloudy,Raiders,4,,2010
Redskins,62f Mostly Cloudy,Eagles,4,,2010
Cardinals,70f Overcast with Haze,Chargers,4,,2010
Bears,59f Partly Cloudy,Giants,4,,2010
Patriots,81f Fair,Dolphins,4,,2010
Buccaneers,78f Fair,Bengals,5,,2010
Falcons,66f Fair,Browns,5,,2010
Giants,79f A Few Clouds,Texans,5,,2010
Chiefs,DOME,Colts,5,,2010
Packers,69f Fair,Redskins,5,,2010
Jaguars,63f Partly Cloudy,Bills,5,,2010
Broncos,70f Mostly Sunny,Ravens,5,,2010
Bears,80f Fair,Panthers,5,,2010
Rams,DOME,Lions,5,,2010
Saints,DOME,Cardinals,5,,2010
Chargers,71f A Few Clouds,Raiders,5,,2010
Titans,84f Clear,Cowboys,5,,2010
Eagles,75f Fair and Breezy,49ers,5,,2010
Vikings,70f A Few Clouds,Jets,5,,2010
Browns,60f Fair,Steelers,6,,2010
Saints,79f Partly Cloudy,Buccaneers,6,,2010
Dolphins,54f Fair,Packers,6,,2010
Chargers,DOME,Rams,6,,2010
Ravens,57f Overcast,Patriots,6,,2010
Chiefs,78f Mostly Cloudy,Texans,6,,2010
Lions,63f Fair,Giants,6,,2010
Falcons,66f Partly Cloudy,Eagles,6,,2010
Seahawks,61f Partly Cloudy,Bears,6,,2010
Raiders,59f Overcast,49ers,6,,2010
Jets,73f Partly Cloudy,Broncos,6,,2010
Cowboys,DOME,Vikings,6,,2010
Colts,65f Fair,Redskins,6,,2010
Titans,75f Partly Cloudy,Jaguars,6,,2010
Jaguars,64f Overcast,Chiefs,7,,2010
Bills,72f Mostly Cloudy,Ravens,7,,2010
Eagles,76f Mostly Cloudy,Titans,7,,2010
Bengals,DOME,Falcons,7,,2010
Browns,DOME,Saints,7,,2010
Steelers,78f Heavy Rain Fog/Mist,Dolphins,7,,2010
